m1,m2,m3,m4,m5,m6,repository,version,ncloc,code_quality,testing_status,Maintainability,Reliability,total
0.85,0.0,0.9833333333333333,1.0,1.0,0.43333333333333335,fga-eps-mds-2023-1-schedula-front,05-08-2023-19-19-46,32650,0.605,0.7166666666666667,0.3025,0.35833333333333334,0.6608333333333334
0.85,0.0,0.9833333333333333,1.0,1.0,0.43333333333333335,fga-eps-mds-2023-1-schedula-front,05-10-2023-00-19-39,32658,0.605,0.7166666666666667,0.3025,0.35833333333333334,0.6608333333333334
0.85,0.0,0.9833333333333333,1.0,1.0,0.43333333333333335,fga-eps-mds-2023-1-schedula-front,05-10-2023-19-08-07,32650,0.605,0.7166666666666667,0.3025,0.35833333333333334,0.6608333333333334
0.85,0.0,0.9833333333333333,1.0,1.0,0.43333333333333335,fga-eps-mds-2023-1-schedula-front,05-10-2023-20-04-37,32658,0.605,0.7166666666666667,0.3025,0.35833333333333334,0.6608333333333334
0.8524590163934426,0.0,0.9836065573770492,1.0,1.0,0.4262295081967213,fga-eps-mds-2023-1-schedula-front,05-12-2023-14-03-49,33035,0.6059016393442623,0.7131147540983607,0.30295081967213117,0.35655737704918034,0.6595081967213114
0.8536585365853658,0.0,0.983739837398374,1.0,1.0,0.42276422764227645,fga-eps-mds-2023-1-schedula-front,05-13-2023-19-12-20,33105,0.6063414634146342,0.7113821138211383,0.3031707317073171,0.3556910569105691,0.6588617886178862
0.8524590163934426,0.0,0.9836065573770492,1.0,1.0,0.4262295081967213,fga-eps-mds-2023-1-schedula-front,05-15-2023-23-38-49,33035,0.6059016393442623,0.7131147540983607,0.30295081967213117,0.35655737704918034,0.6595081967213114
0.8560606060606061,0.0,0.9848484848484849,1.0,1.0,0.4090909090909091,fga-eps-mds-2023-1-schedula-front,05-16-2023-00-27-58,35807,0.6075,0.7045454545454546,0.30375,0.3522727272727273,0.6560227272727273
0.8560606060606061,0.0,0.9848484848484849,1.0,1.0,0.4090909090909091,fga-eps-mds-2023-1-schedula-front,05-16-2023-12-36-32,35807,0.6075,0.7045454545454546,0.30375,0.3522727272727273,0.6560227272727273
0.8560606060606061,0.0,0.9848484848484849,1.0,1.0,0.4090909090909091,fga-eps-mds-2023-1-schedula-front,05-19-2023-03-11-13,35725,0.6075,0.7045454545454546,0.30375,0.3522727272727273,0.6560227272727273
0.8560606060606061,0.0,0.9848484848484849,1.0,1.0,0.4090909090909091,fga-eps-mds-2023-1-schedula-front,05-19-2023-03-58-35,35725,0.6075,0.7045454545454546,0.30375,0.3522727272727273,0.6560227272727273
0.8560606060606061,0.0,0.9848484848484849,1.0,1.0,0.4090909090909091,fga-eps-mds-2023-1-schedula-front,05-19-2023-04-22-40,35941,0.6075,0.7045454545454546,0.30375,0.3522727272727273,0.6560227272727273
0.8560606060606061,0.0,0.9848484848484849,1.0,1.0,0.4090909090909091,fga-eps-mds-2023-1-schedula-front,05-19-2023-19-24-51,35574,0.6075,0.7045454545454546,0.30375,0.3522727272727273,0.6560227272727273
0.8560606060606061,0.0,0.9848484848484849,1.0,1.0,0.4090909090909091,fga-eps-mds-2023-1-schedula-front,05-21-2023-11-28-12,35725,0.6075,0.7045454545454546,0.30375,0.3522727272727273,0.6560227272727273
0.8581081081081081,0.0,0.9864864864864865,1.0,1.0,0.39864864864864863,fga-eps-mds-2023-1-schedula-front,05-21-2023-15-34-21,41722,0.6087162162162163,0.6993243243243243,0.30435810810810815,0.34966216216216217,0.6540202702702703
0.8455882352941176,0.0,0.9852941176470589,1.0,1.0,0.4338235294117647,fga-eps-mds-2023-1-schedula-front,05-21-2023-16-04-14,37171,0.6041911764705883,0.7169117647058824,0.30209558823529414,0.3584558823529412,0.6605514705882354
0.8455882352941176,0.0,0.9852941176470589,1.0,1.0,0.4338235294117647,fga-eps-mds-2023-1-schedula-front,05-21-2023-23-53-45,37186,0.6041911764705883,0.7169117647058824,0.30209558823529414,0.3584558823529412,0.6605514705882354
0.8581081081081081,0.0,0.9864864864864865,1.0,1.0,0.39864864864864863,fga-eps-mds-2023-1-schedula-front,05-22-2023-11-47-06,41726,0.6087162162162163,0.6993243243243243,0.30435810810810815,0.34966216216216217,0.6540202702702703
0.8581081081081081,0.0,0.9864864864864865,1.0,1.0,0.39864864864864863,fga-eps-mds-2023-1-schedula-front,05-22-2023-17-25-41,41540,0.6087162162162163,0.6993243243243243,0.30435810810810815,0.34966216216216217,0.6540202702702703
0.8551724137931035,0.0,0.9862068965517241,1.0,1.0,0.4068965517241379,fga-eps-mds-2023-1-schedula-front,05-24-2023-00-15-11,41374,0.6076551724137931,0.7034482758620689,0.30382758620689654,0.35172413793103446,0.655551724137931
0.8581081081081081,0.0,0.9864864864864865,1.0,1.0,0.39864864864864863,fga-eps-mds-2023-1-schedula-front,05-24-2023-04-13-23,41540,0.6087162162162163,0.6993243243243243,0.30435810810810815,0.34966216216216217,0.6540202702702703
0.8342541436464088,0.0,0.9779005524861878,1.0,1.0,0.56353591160221,fga-eps-mds-2023-1-schedula-front,05-24-2023-15-24-23,52756,0.598011049723757,0.781767955801105,0.2990055248618785,0.3908839779005525,0.689889502762431
0.8581081081081081,0.0,0.9864864864864865,1.0,1.0,0.39864864864864863,fga-eps-mds-2023-1-schedula-front,05-24-2023-18-20-44,41540,0.6087162162162163,0.6993243243243243,0.30435810810810815,0.34966216216216217,0.6540202702702703
